LoanID,CustomerID,CIBIL_Score,Annual_Income_INR,Employment_Type,Vehicle_Model,Loan_Amount_INR,Interest_Rate_Pct,Tenure_Months,Monthly_EMI_INR,FOIR_Pct,NPA_Probability,Risk_Category
900001,100001,752,3362174,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1389286,9.63,36,44587,0.159,0.2256,Low Risk (Safe)
900002,100002,723,1618237,Self-Employed Non-Professional,Kia Seltos (Mid-Size SUV),1475022,10.18,48,37538,0.278,0.2988,Low Risk (Safe)
900003,100003,759,1397213,Salaried,Tata Nexon EV (Electric SUV),1380472,10.06,60,29371,0.252,0.1688,Low Risk (Safe)
900004,100004,798,2187224,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1501398,8.64,60,30904,0.17,0.2095,Low Risk (Safe)
900005,100005,719,1995486,Salaried,Tata Nexon EV (Electric SUV),1481526,12.43,48,39327,0.237,0.1801,Low Risk (Safe)
900006,100006,719,1707813,Salaried,Hyundai Venue (Compact SUV),918790,11.21,48,23840,0.168,0.1456,Low Risk (Safe)
900007,100007,801,3213955,Salaried,Kia Seltos (Mid-Size SUV),1429296,8.79,48,35425,0.132,0.0891,Low Risk (Safe)
900008,100008,764,3705830,Salaried,Kia Seltos (Mid-Size SUV),1423264,10.03,48,36118,0.117,0.099,Low Risk (Safe)
900009,100009,708,2300469,Self-Employed Professional,Hyundai Venue (Compact SUV),995278,11.16,48,25800,0.135,0.2343,Low Risk (Safe)
900010,100010,754,3800000,Salaried,Mahindra XUV700 (Premium SUV),1748953,10.33,60,37444,0.118,0.1042,Low Risk (Safe)
900011,100011,709,1169481,Salaried,Honda City (Premium Sedan),1128846,11.7,60,24939,0.256,0.1944,Low Risk (Safe)
900012,100012,709,1969888,Self-Employed Professional,Honda City (Premium Sedan),1363663,12.43,60,30631,0.187,0.2599,Low Risk (Safe)
900013,100013,740,1477331,Salaried,Tata Nexon EV (Electric SUV),1394958,10.46,72,26167,0.213,0.1583,Low Risk (Safe)
900014,100014,643,784973,Salaried,Tata Nexon EV (Electric SUV),1280690,13.25,72,25877,0.396,0.2954,Low Risk (Safe)
900015,100015,652,2093872,Salaried,Hyundai Venue (Compact SUV),876824,11.9,48,23047,0.132,0.1592,Low Risk (Safe)
900016,100016,704,2049361,Self-Employed Professional,Honda City (Premium Sedan),1404751,11.68,36,46443,0.272,0.3047,Low Risk (Safe)
900017,100017,684,3800000,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),691425,11.53,72,13349,0.042,0.1991,Low Risk (Safe)
900018,100018,744,3100104,Salaried,Mahindra XUV700 (Premium SUV),2051501,9.85,36,66051,0.256,0.1779,Low Risk (Safe)
900019,100019,689,1247556,Salaried,Hyundai Venue (Compact SUV),931089,11.9,48,24473,0.235,0.1933,Low Risk (Safe)
900020,100020,666,3800000,Salaried,Hyundai Venue (Compact SUV),939471,11.87,36,31145,0.098,0.1356,Low Risk (Safe)
900021,100021,795,3800000,Self-Employed Professional,Tata Nexon EV (Electric SUV),1559330,8.64,60,32097,0.101,0.1764,Low Risk (Safe)
900022,100022,719,3018147,Salaried,Honda City (Premium Sedan),1414731,11.07,60,30809,0.122,0.1226,Low Risk (Safe)
900023,100023,733,1934643,Salaried,Maruti Suzuki Swift (Hatchback),594790,9.99,84,9871,0.061,0.0856,Low Risk (Safe)
900024,100024,665,1292783,Salaried,Mahindra XUV700 (Premium SUV),2098108,11.47,72,40442,0.375,0.2746,Low Risk (Safe)
900025,100025,705,1785637,Salaried,Maruti Suzuki Swift (Hatchback),592086,11.66,60,13069,0.088,0.1122,Low Risk (Safe)
900026,100026,734,3800000,Salaried,Maruti Suzuki Swift (Hatchback),594530,10.04,60,12643,0.04,0.0746,Low Risk (Safe)
900027,100027,678,3800000,Self-Employed Professional,Tata Nexon EV (Electric SUV),1460610,12.26,48,38650,0.122,0.2419,Low Risk (Safe)
900028,100028,746,3800000,Salaried,Tata Nexon EV (Electric SUV),1371150,10.16,48,34881,0.11,0.1039,Low Risk (Safe)
900029,100029,702,1674680,Salaried,Hyundai Venue (Compact SUV),1029939,12.25,48,27248,0.195,0.1671,Low Risk (Safe)
900030,100030,716,1183764,Self-Employed Professional,Hyundai Venue (Compact SUV),844582,11.21,48,21914,0.222,0.2741,Low Risk (Safe)
900031,100031,702,2367836,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),639228,12.33,48,16937,0.086,0.2126,Low Risk (Safe)
900032,100032,813,828488,Salaried,Hyundai Venue (Compact SUV),1027074,8.8,48,25461,0.369,0.2019,Low Risk (Safe)
900033,100033,729,2617531,Salaried,Honda City (Premium Sedan),1396234,9.62,60,29405,0.135,0.1244,Low Risk (Safe)
900034,100034,682,2020425,Salaried,Honda City (Premium Sedan),1171958,11.85,84,20594,0.122,0.1401,Low Risk (Safe)
900035,100035,767,1695825,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),905660,10.39,60,19416,0.137,0.2076,Low Risk (Safe)
900036,100036,675,911560,Salaried,Mahindra XUV700 (Premium SUV),2009795,11.27,84,34698,0.457,0.3109,Low Risk (Safe)
900037,100037,739,2906557,Self-Employed Non-Professional,Honda City (Premium Sedan),1172818,10.23,60,25051,0.103,0.2037,Low Risk (Safe)
